,style,name,review_overall
65,Mild Ale - English Pale,Ossian,3.94697
41,Lager - American,Joe's Premium American Pilsner,3.86478
52,Lager - Light,Sankaty Light,3.777778
47,Lager - European Strong,Christoffel Nobel,3.683544
53,Lager - Malt Liquor,Region Riot,3.625
