,style,name,review_overall
62,Lambic - Traditional,Lambik (2 Year Old Unblended),5.0
114,Wild Ale,Sang Noir,4.807692
61,Lambic - Gueuze,De Troch Oude Gueuze,4.75
30,Happoshu,Helios Goya Dry,4.75
60,Lambic - Fruit,Framboos,4.7
