,name,type,type_id,abv,rating,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
0,Amber,Altbier,8,5.3,3.65,13,32,9,47,74,33,0,33,57,8,111
1,Double Bag,Altbier,8,7.2,3.9,12,57,18,33,55,16,0,24,35,12,84
2,Long Trail Ale,Altbier,8,5.0,3.58,14,37,6,42,43,11,0,10,54,4,62
3,Doppelsticke,Altbier,8,8.5,4.15,13,55,31,47,101,18,1,49,40,16,119
4,Scurry,Altbier,8,5.3,3.67,21,69,10,63,120,14,0,19,36,15,218
5,Sleigh'r Dark Doüble Alt Ale,Altbier,8,7.2,3.78,25,51,26,44,45,9,1,11,51,20,95
6,Sticke,Altbier,8,6.0,4.1,22,45,13,46,62,25,1,34,60,4,103
7,Okto Festival Ale,Altbier,8,5.3,3.46,28,40,3,40,58,29,0,36,54,8,97
8,Southampton Altbier,Altbier,8,5.0,3.6,18,49,5,37,73,22,0,21,37,4,98
9,Copper,Altbier,8,4.8,4.1,25,35,4,38,39,13,1,8,60,16,97
10,Organic Münster Alt,Altbier,8,5.1,3.7,35,31,5,35,50,55,5,52,66,8,77
11,Altbier,Altbier,8,4.7,4.0,34,48,9,55,59,25,1,32,68,12,121
12,Gerst Amber,Altbier,8,5.1,3.54,10,19,1,21,30,11,4,8,24,2,65
13,Ad Astra Ale,Altbier,8,5.6,3.69,7,30,5,43,43,13,1,13,50,6,93
14,Doppel Sticky,Altbier,8,7.7,4.07,24,44,27,79,73,88,2,114,92,9,51
15,Copperhead Ale,Altbier,8,5.2,3.37,9,32,9,29,54,13,1,11,32,2,112
16,Ten Years Alt,Altbier,8,8.5,3.96,14,55,31,48,105,31,0,37,59,19,115
17,Three Blind Mice,Altbier,8,5.5,3.57,11,58,6,47,49,5,1,3,50,5,110
18,Ishmael,Altbier,8,4.9,3.71,17,41,1,55,43,18,1,20,80,7,103
19,Headwall Alt,Altbier,8,4.5,3.69,19,42,13,54,62,19,0,25,64,10,135
20,Alt-eration Ale,Altbier,8,5.0,3.81,21,43,3,54,54,7,0,10,60,9,111
21,Schell's Schmaltz's Alt,Altbier,8,5.1,3.75,21,72,9,48,102,25,1,50,43,13,176
22,Balt Altbier,Altbier,8,5.5,3.8,27,65,10,45,75,22,1,29,68,12,132
23,Frankenheim Alt,Altbier,8,4.8,3.76,19,43,5,39,43,13,1,6,45,8,97
24,Iron Works Alt,Altbier,8,5.5,3.84,37,50,16,60,84,32,0,46,83,19,121
25,Diebels Premium Altbier,Altbier,8,4.9,3.72,21,27,5,37,33,13,0,13,45,10,70
26,Mission Amber,Altbier,8,5.0,3.47,24,36,9,59,55,20,2,18,80,7,132
27,Hövels Original,Altbier,8,5.5,3.71,22,38,10,47,54,10,1,14,68,2,117
28,Secret Spot Alt Ale,Altbier,8,6.3,3.58,14,53,16,69,67,29,0,23,87,18,103
29,Hoppeditz,Altbier,8,7.5,3.91,18,55,23,72,92,21,0,52,75,47,129
30,Lighthouse Amber,Altbier,8,5.25,3.64,11,67,5,35,86,21,0,28,54,4,138
31,Copper ALT.,Altbier,8,5.2,3.73,24,47,9,43,71,21,0,26,69,9,134
32,Série Signature Sticke Alt,Altbier,8,6.0,3.87,17,57,14,96,106,23,0,42,122,11,130
33,Simple Means,Altbier,8,5.6,3.82,36,55,14,34,88,75,4,43,45,97,97
34,Crooked Coast Altbier,Altbier,8,5.1,3.88,20,36,7,76,47,39,2,40,100,8,76
35,Gravel Road,Altbier,8,7.25,3.54,5,48,6,54,66,11,0,16,52,9,109
36,Little Red Cap,Altbier,8,5.2,3.63,27,39,18,47,52,28,4,24,59,6,100
37,Festivale,Altbier,8,4.7,3.69,29,30,9,72,77,20,0,20,104,10,141
38,Duckstein Rotblondes Original,Altbier,8,4.9,3.51,17,31,5,50,28,10,0,11,51,15,80
39,Moby D,Altbier,8,5.0,3.58,26,37,14,65,57,33,0,33,107,3,98
40,Scruffy's Smoked Alt,Altbier,8,5.1,3.68,18,45,11,29,39,28,3,21,31,130,91
41,Über Alt,Altbier,8,8.5,3.96,32,64,28,47,135,49,2,65,55,15,182
42,Füchschen Alt,Altbier,8,4.5,4.14,33,54,13,52,57,10,0,14,68,15,100
43,Sticke It To The Man,Altbier,8,7.5,3.41,18,55,50,51,87,22,0,39,47,6,96
44,Creemore Springs Collaboration Altbier,Altbier,8,5.0,3.64,26,61,6,50,69,27,0,22,73,8,144
45,Evan Altmighty,Altbier,8,6.6,3.66,21,39,7,40,62,34,0,47,65,5,80
46,ALTerior Motive,Altbier,8,6.3,4.05,27,61,11,56,61,46,0,40,77,14,110
47,GPA (German Pale Ale),Altbier,8,5.2,3.82,6,12,1,45,17,36,0,39,50,0,23
48,The Detroit Dwarf,Altbier,8,6.8,3.63,19,57,13,42,68,25,0,29,54,12,70
49,Alternate Dimension,Altbier,8,5.6,3.66,25,50,12,72,61,20,0,21,59,26,139
50,Bigfoot,Barleywine - American,97,9.6,4.17,11,47,37,88,73,31,0,46,90,0,77
51,Third Coast Old Ale,Barleywine - American,97,10.2,4.13,8,38,29,39,99,32,0,57,37,7,72
52,Olde School Barleywine,Barleywine - American,97,15.0,4.02,20,55,82,56,170,30,0,107,43,13,62
53,Brewer's Reserve Bourbon Barrel Barleywine,Barleywine - American,97,14.3,4.33,11,65,94,40,142,25,0,63,23,27,133
54,Old Ruffian,Barleywine - American,97,10.2,4.22,6,55,31,107,97,27,1,57,120,14,119
55,Old Horizontal,Barleywine - American,97,11.0,4.06,9,49,45,78,83,36,1,52,97,12,117
56,Behemoth,Barleywine - American,97,10.5,4.24,18,71,52,90,125,72,0,101,105,24,105
57,Olde GnarlyWine,Barleywine - American,97,10.9,4.09,14,49,44,47,74,28,0,43,68,17,89
58,Old Numbskull,Barleywine - American,97,11.0,4.14,14,58,36,52,117,29,0,54,67,13,122
59,Flying Mouflan,Barleywine - American,97,9.3,4.15,17,74,41,66,143,38,1,78,72,11,130
60,Bigfoot - Barrel-Aged,Barleywine - American,97,12.2,4.18,7,60,74,48,82,20,0,53,50,20,92
61,XS Old Crustacean,Barleywine - American,97,11.5,4.05,13,51,35,88,80,41,0,65,86,14,83
62,Doggie Claws,Barleywine - American,97,11.5,4.18,14,55,34,66,102,36,1,53,82,22,98
63,A Deal With The Devil,Barleywine - American,97,17.3,4.57,4,68,33,31,141,26,0,66,15,20,88
64,Helldorado,Barleywine - American,97,12.8,4.29,6,39,56,25,101,23,5,45,48,21,134
65,Cockeyed Cooper,Barleywine - American,97,11.1,3.96,12,62,66,38,52,20,0,32,42,22,103
66,Solstice D'hiver,Barleywine - American,97,10.2,3.94,23,54,61,70,125,33,0,54,62,22,119
67,Anniversary Barley Wine Ale,Barleywine - American,97,10.4,3.87,7,47,39,64,97,27,1,46,67,2,110
68,Barleywine Style Ale,Barleywine - American,97,10.9,3.9,12,44,35,70,74,39,1,45,81,17,99
69,Lower De Boom Barleywine,Barleywine - American,97,11.5,3.8,11,60,47,67,110,73,2,120,98,6,100
70,Killer Penguin Barleywine,Barleywine - American,97,10.0,3.59,8,34,33,29,70,28,0,41,35,4,67
71,Great,Barleywine - American,97,14.0,4.56,8,47,36,14,81,14,0,35,10,10,76
72,Griffin's BowBoston Beer Company (Samuel Adams),Barleywine - American,97,11.5,3.56,5,65,41,60,146,78,0,117,71,25,104
73,Sisyphus,Barleywine - American,97,11.5,3.97,11,68,37,80,109,67,0,83,96,5,87
74,Gratitude,Barleywine - American,97,11.5,4.29,10,69,31,66,124,43,1,60,77,10,108
75,Barleywine Ale,Barleywine - American,97,11.0,3.86,14,57,43,86,86,36,1,61,96,16,95
76,The Vermonster,Barleywine - American,97,10.0,3.9,34,41,29,86,50,28,0,34,114,9,83
77,Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,97,11.6,3.99,11,75,43,89,89,46,0,54,106,17,97
78,Freudian Slip,Barleywine - American,97,10.3,3.81,9,42,40,84,113,34,0,73,93,11,80
79,John Barleycorn Barleywine Ale,Barleywine - American,97,11.4,3.78,12,71,61,57,98,48,1,59,59,14,89
80,Barrel Aged Behemoth,Barleywine - American,97,12.5,4.38,13,58,66,38,86,36,0,61,42,35,92
81,Old Ruffian - Barrel-Aged,Barleywine - American,97,12.7,4.19,18,67,94,43,134,34,0,57,53,32,132
82,# 100,Barleywine - American,97,10.0,4.07,18,70,43,85,92,26,1,53,95,15,113
83,Old Numbskull - Bourbon Barrel-Aged,Barleywine - American,97,11.0,4.31,9,57,67,26,113,20,0,36,23,25,132
84,Devil's Milk,Barleywine - American,97,10.0,3.86,15,73,45,78,125,80,2,122,117,9,103
85,Big Worse,Barleywine - American,97,12.0,3.83,14,50,58,67,137,71,0,110,79,12,114
86,Double Or Nothing,Barleywine - American,97,10.5,4.02,9,58,31,29,238,31,0,54,28,16,195
87,Barrel Roll No. 4 Wing Over,Barleywine - American,97,13.8,4.09,9,60,79,42,92,11,0,28,38,24,137
88,Old Boardhead Barleywine Ale,Barleywine - American,97,9.0,3.89,8,47,34,41,88,33,0,31,45,11,83
89,Chicken Killer Barley Wine,Barleywine - American,97,10.0,3.72,13,41,40,61,85,38,0,47,61,4,104
90,Day & Night,Barleywine - American,97,10.0,4.2,19,69,22,137,154,49,8,61,49,32,230
91,Olde Bluehair Barley Wine,Barleywine - American,97,12.0,4.04,10,53,63,53,71,22,1,32,56,23,114
92,Old Blarney Barleywine,Barleywine - American,97,10.0,3.87,14,66,38,61,107,39,0,64,69,6,119
93,Hell On Wood,Barleywine - American,97,13.1,4.02,7,66,93,34,92,32,0,55,22,33,102
94,Druid Fluid,Barleywine - American,97,9.5,3.94,25,55,39,90,116,56,3,88,105,4,102
95,Holidale,Barleywine - American,97,9.5,3.9,15,72,50,79,103,42,0,53,69,27,107
96,Old Howling Bastard,Barleywine - American,97,10.0,3.87,9,59,37,45,100,34,0,44,60,11,115
97,New Crustacean,Barleywine - American,97,11.6,3.89,8,43,38,65,71,45,1,66,81,5,70
98,Santa Vs. Unicorn,Barleywine - American,97,10.0,4.01,14,53,26,76,69,38,0,47,99,13,102
99,Old Backus Barleywine,Barleywine - American,97,10.5,4.24,7,62,45,56,127,39,1,49,62,4,108
100,Bourbon County Brand Barleywine Ale,Barleywine - English,98,14.4,4.55,5,76,72,37,132,30,0,69,17,36,163
101,§ucaba,Barleywine - English,98,12.5,4.55,5,51,74,24,105,23,0,50,19,18,112
102,Insanity,Barleywine - English,98,13.3,4.18,7,56,55,19,103,27,0,68,19,27,88
103,Blithering Idiot,Barleywine - English,98,11.1,3.7,2,44,47,29,138,26,0,62,31,15,97
104,Mother Of All Storms,Barleywine - English,98,14.0,4.48,10,66,86,37,156,34,1,77,12,27,168
105,Old Foghorn,Barleywine - English,98,10.0,3.94,10,62,37,56,116,36,0,82,64,15,110
106,Double Double Barrel Ale,Barleywine - English,98,12.0,4.32,10,45,49,16,67,13,0,35,9,32,101
107,Mirror Mirror,Barleywine - English,98,11.0,4.27,18,56,19,32,119,28,0,77,29,18,104
108,Harvest Ale (Limited Edition)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,98,11.5,4.31,5,58,39,31,137,31,0,71,25,26,104
109,Arctic Devil Barley Wine,Barleywine - English,98,13.2,4.38,10,72,69,28,123,23,0,49,23,24,141
110,Horn Dog,Barleywine - English,98,10.2,3.88,8,43,50,22,100,25,0,63,21,9,65
111,Straight Jacket,Barleywine - English,98,15.0,4.35,10,65,89,42,120,30,0,70,24,43,151
112,Bourbon Barrel-Aged Barley Wine,Barleywine - English,98,14.5,4.44,7,47,94,24,99,14,1,44,8,25,123
113,Aaron,Barleywine - English,98,9.0,4.63,11,63,77,13,154,23,0,68,13,35,140
114,Cereal Killer,Barleywine - English,98,10.0,3.85,11,68,49,36,109,36,1,80,35,18,109
115,Oak Aged Barleywine,Barleywine - English,98,10.2,3.98,8,49,27,22,87,22,1,27,19,9,110
116,Mash,Barleywine - English,98,12.5,4.09,10,66,79,30,117,26,1,64,20,36,146
117,J.W. Lees Harvest Ale (Lagavulin Whisky Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,98,11.5,4.04,9,54,59,11,126,22,1,64,6,54,74
118,Leon,Barleywine - English,98,13.0,4.46,5,54,64,6,151,36,0,51,4,14,120
119,Bligh's Barleywine Ale,Barleywine - English,98,10.0,4.39,4,62,64,13,123,31,0,46,7,18,96
120,J.W. Lees Harvest Ale (Calvados Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,98,11.5,4.11,9,38,48,23,188,74,0,93,22,30,93
121,Brick Kiln - Bourbon Barrel-Aged,Barleywine - English,98,11.8,4.26,7,65,83,23,119,14,0,54,10,28,132
122,Mash & Grind,Barleywine - English,98,12.5,4.23,18,57,71,96,67,11,0,12,17,25,186
123,J.W. Lees Harvest Ale (Port Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,98,11.5,4.19,7,48,38,23,148,36,0,89,9,14,76
124,London Balling,Barleywine - English,98,12.5,4.18,9,56,72,44,109,21,0,42,48,25,131
125,Ridge Runner,Barleywine - English,98,7.2,3.47,9,53,20,27,80,22,2,45,29,5,114
126,J.W. Lees Harvest Ale (Sherry Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,98,11.5,4.14,5,58,22,24,134,40,0,85,30,31,101
127,Dominion Millennium Ale,Barleywine - English,98,10.5,4.03,13,63,53,38,116,34,0,53,62,13,114
128,Irish Walker,Barleywine - English,98,10.14,3.97,7,83,62,58,186,52,0,105,40,17,170
129,Criminally Bad Elf Barleywine-Style Ale,Barleywine - English,98,10.5,3.47,13,63,52,34,125,44,0,82,52,14,92
130,Brick Kiln,Barleywine - English,98,10.5,3.99,3,58,48,39,101,12,0,48,38,3,95
131,Mash & Coconut,Barleywine - English,98,13.0,4.3,9,64,67,19,126,17,1,101,13,30,134
132,Mash & Vanilla,Barleywine - English,98,13.3,4.2,14,78,74,19,96,17,1,41,12,72,106
133,Vermilion Barleywine,Barleywine - English,98,10.5,4.03,4,72,36,34,120,26,0,68,29,13,92
134,Commander,Barleywine - English,98,12.5,4.02,4,51,71,10,96,17,0,34,11,66,95
135,Pugsley's Signature Series: Barley Wine,Barleywine - English,98,8.5,3.68,23,99,30,65,124,42,0,63,54,20,130
136,Barrel Aged The Murderous,Barleywine - English,98,13.0,4.31,6,72,94,4,110,22,1,54,3,29,134
137,Bommen & Granaten,Barleywine - English,98,15.2,3.97,11,55,39,36,144,45,0,88,30,6,70
138,Lunker,Barleywine - English,98,14.4,4.29,8,75,98,20,133,23,0,45,13,39,151
139,Double Old Thumper Ale,Barleywine - English,98,11.2,3.6,2,62,63,57,145,54,0,80,68,17,125
140,Wooden Hell,Barleywine - English,98,9.5,4.47,11,77,90,35,134,28,0,78,44,51,143
141,Golden Pride,Barleywine - English,98,8.5,4.05,9,48,54,37,101,35,0,59,39,4,111
142,V.S.O.J.,Barleywine - English,98,14.0,4.68,2,48,39,19,87,10,0,54,2,19,100
143,Christmas Ale,Barleywine - English,98,8.1,3.87,15,51,36,47,139,53,0,90,70,21,116
144,Stormwatcher's Winterfest,Barleywine - English,98,13.0,4.14,7,57,46,29,122,26,2,74,30,16,130
145,Cereal Killer - Bourbon Barrel-Aged,Barleywine - English,98,12.0,4.08,18,65,97,30,135,28,0,76,23,39,153
146,Old Abominable,Barleywine - English,98,9.0,3.71,11,51,23,29,114,33,6,53,36,4,91
147,"Lawyers, Guns & Money",Barleywine - English,98,10.0,3.91,14,42,28,56,88,55,0,65,79,10,82
148,Murderous,Barleywine - English,98,9.5,3.79,8,66,35,43,135,27,1,62,48,15,129
149,Thor's Hammer Barley WineCentral City Brewers + Distillers,Barleywine - English,98,11.5,4.12,14,49,60,39,129,36,0,71,39,31,121
150,Fuller's ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.9,4.07,15,59,16,41,63,23,0,37,57,10,67
151,Hobgoblin Ruby,Bitter - English Extra Special / Strong Bitter (ESB),41,5.2,3.78,8,44,6,49,82,19,0,37,59,13,88
152,Sawtooth,Bitter - English Extra Special / Strong Bitter (ESB),41,5.3,3.74,18,37,2,55,53,18,0,25,78,0,117
153,ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.8,3.43,7,24,4,48,34,14,0,16,58,6,61
154,Harvest Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,6.7,3.87,18,26,11,74,21,23,0,26,105,9,52
155,Winter Storm,Bitter - English Extra Special / Strong Bitter (ESB),41,7.5,3.84,11,49,25,66,67,30,0,28,96,20,110
156,Bombardier Amber Beer,Bitter - English Extra Special / Strong Bitter (ESB),41,4.7,3.79,16,48,9,65,77,43,1,49,84,25,95
157,Iron Maiden Trooper,Bitter - English Extra Special / Strong Bitter (ESB),41,4.7,3.45,18,25,6,46,39,36,5,36,81,2,70
158,Old Thumper,Bitter - English Extra Special / Strong Bitter (ESB),41,5.6,3.62,12,27,19,57,75,29,0,35,75,5,102
159,Abbot Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.0,3.68,9,42,5,30,63,16,3,19,51,7,92
160,Anvil,Bitter - English Extra Special / Strong Bitter (ESB),41,5.5,3.92,12,56,8,54,57,20,3,25,68,3,118
161,Scarlet Lady Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.0,3.63,18,32,4,50,45,21,0,15,82,2,89
162,Lord Rear Admiral,Bitter - English Extra Special / Strong Bitter (ESB),41,6.4,4.13,18,57,13,77,118,63,1,105,110,11,117
163,Extra Special Ale (ESA),Bitter - English Extra Special / Strong Bitter (ESB),41,6.0,3.74,13,55,11,59,54,20,1,18,75,20,90
164,Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,4.4,3.72,21,34,9,45,35,17,3,17,59,13,78
165,Foster's Premium Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.5,2.88,21,43,15,45,53,17,0,16,73,7,95
166,Sawtooth Nitro,Bitter - English Extra Special / Strong Bitter (ESB),41,5.3,3.43,8,49,5,27,38,6,0,6,41,8,72
167,Belk's ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,6.8,3.8,21,48,16,83,48,43,1,52,123,22,73
168,ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.5,3.71,15,39,7,46,65,23,0,29,70,6,123
169,Motor Boat,Bitter - English Extra Special / Strong Bitter (ESB),41,5.6,3.73,18,48,6,92,57,38,2,39,144,9,87
170,Young's Special London Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,6.4,3.98,8,39,16,57,75,61,0,55,73,18,70
171,ESB Special Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.7,3.6,21,59,8,61,70,35,1,32,86,12,126
172,Autumn Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.75,3.66,17,41,15,66,68,33,0,50,94,7,107
173,Old Man,Bitter - English Extra Special / Strong Bitter (ESB),41,5.4,3.89,21,38,8,44,88,39,1,44,60,8,131
174,Winter ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.8,3.8,13,36,6,68,72,68,2,67,77,14,89
175,Halloween Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,6.0,3.76,11,58,12,60,76,26,0,32,78,28,101
176,Bishops Finger,Bitter - English Extra Special / Strong Bitter (ESB),41,5.4,3.69,10,34,11,44,52,25,1,36,56,6,79
177,13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.2,3.55,14,31,7,54,41,27,0,26,77,2,84
178,Beast Bitter,Bitter - English Extra Special / Strong Bitter (ESB),41,5.3,3.91,31,59,10,112,62,54,0,53,130,8,99
179,Moondog Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.5,3.94,29,54,12,90,71,47,3,52,171,13,120
180,Magnumus Ete Tomahawkus ESB³,Bitter - English Extra Special / Strong Bitter (ESB),41,8.0,3.81,26,60,22,102,47,45,0,43,134,12,62
181,The Wise ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.9,3.89,24,63,10,105,74,34,1,37,140,12,126
182,Red Rack Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.5,3.41,20,56,12,52,75,38,0,27,66,3,109
183,Christmas Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,6.2,3.81,9,69,22,52,61,24,0,27,67,21,112
184,Bachelor ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.3,3.9,20,46,8,73,27,20,0,16,97,7,85
185,14* ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,5.6,3.92,15,33,11,49,51,32,0,34,85,18,93
186,Minaret Extra Special Bitter,Bitter - English Extra Special / Strong Bitter (ESB),41,6.0,3.79,9,46,4,57,37,28,0,25,66,11,67
187,Young's Ram Rod,Bitter - English Extra Special / Strong Bitter (ESB),41,5.0,3.9,13,65,13,65,87,55,0,61,86,12,76
188,Bleeding Buckeye Red Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.7,3.5,10,32,4,45,56,16,0,11,75,3,95
189,Lancaster Bomber,Bitter - English Extra Special / Strong Bitter (ESB),41,4.4,3.48,16,57,5,65,58,17,0,27,86,10,71
190,Extra Special Bitter (ESB),Bitter - English Extra Special / Strong Bitter (ESB),41,5.0,3.87,14,59,9,87,79,30,0,38,112,9,105
191,Wooly,Bitter - English Extra Special / Strong Bitter (ESB),41,4.5,3.2,32,38,8,46,31,52,1,48,139,7,50
192,Red Racer India Style Red AleCentral City Brewers + Distillers,Bitter - English Extra Special / Strong Bitter (ESB),41,5.5,3.98,20,46,2,98,48,47,0,54,129,5,101
193,Public Ale,Bitter - English Extra Special / Strong Bitter (ESB),41,5.5,3.73,7,44,14,39,68,36,2,33,60,8,96
194,Steel Wheels ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,6.5,3.82,23,40,21,58,96,33,0,42,74,13,106
195,Batemans XXXB,Bitter - English Extra Special / Strong Bitter (ESB),41,4.8,3.88,18,62,10,62,95,36,0,42,76,14,94
196,XX Bitch Creek,Bitter - English Extra Special / Strong Bitter (ESB),41,7.5,4.01,11,89,27,111,86,32,0,40,115,13,169
197,Adnams SSB (Suffolk Special Bitter),Bitter - English Extra Special / Strong Bitter (ESB),41,4.5,3.89,16,46,18,65,52,33,0,25,69,6,72
198,Naughty Hildegard ESB,Bitter - English Extra Special / Strong Bitter (ESB),41,6.5,4.25,9,48,11,97,55,49,0,65,129,6,89
199,Jack The Sipper,Bitter - English Extra Special / Strong Bitter (ESB),41,5.0,3.78,13,26,8,49,54,19,0,29,62,8,83
200,Honker's Ale,Bitter - English,40,4.3,3.67,14,35,3,53,66,28,1,32,58,1,79
201,Fuller's London Pride,Bitter - English,40,4.7,3.94,21,49,9,58,67,32,0,33,101,6,108
202,Bluebird Bitter,Bitter - English,40,4.2,3.88,29,43,15,62,52,47,2,38,101,23,81
203,Spitfire Premium Kentish Ale,Bitter - English,40,4.5,3.61,16,22,6,51,29,16,1,15,76,6,61
204,Younger's Special Bitter,Bitter - English,40,4.8,3.95,20,69,14,74,44,24,0,20,84,13,89
205,Newcastle Summer Ale,Bitter - English,40,4.4,2.98,20,40,6,58,35,30,0,25,80,3,79
206,The Naughty Nurse,Bitter - English,40,5.0,3.5,11,38,10,65,55,7,0,4,75,9,89
207,Ruddles County,Bitter - English,40,4.7,3.78,15,60,9,65,49,20,0,24,93,14,97
208,Foster's Special Bitter,Bitter - English,40,5.0,2.85,20,39,8,37,31,30,1,19,43,2,56
209,Uncle Teddy's Bitter,Bitter - English,40,4.0,4.02,12,83,5,58,44,24,1,25,85,32,88
210,Doom Bar,Bitter - English,40,4.3,3.47,8,50,2,45,36,10,1,8,49,23,64
211,Long Haul Session Ale,Bitter - English,40,4.2,3.6,17,40,6,54,48,35,0,23,65,17,88
212,Best Bitter,Bitter - English,40,5.0,3.61,18,61,4,77,55,26,0,22,101,13,89
213,Old Golden Hen,Bitter - English,40,4.1,3.47,14,41,6,67,48,44,3,72,85,11,69
214,Hopback Summer Lightning,Bitter - English,40,5.0,3.66,37,35,3,66,18,26,0,18,85,9,36
215,Belhaven Best,Bitter - English,40,3.5,3.31,7,73,14,33,63,17,2,18,49,4,99
216,Adnams Southwold Bitter,Bitter - English,40,4.1,3.63,18,49,15,94,97,49,2,55,127,9,85
217,Geary's Winter Ale,Bitter - English,40,6.0,3.46,9,59,20,37,60,13,0,18,45,19,80
218,Brakspear Bitter,Bitter - English,40,3.4,3.77,18,52,5,73,34,19,0,17,85,11,74
219,Goliath,Bitter - English,40,4.2,3.46,12,41,19,49,47,27,0,24,77,9,74
220,McNellie's Pub Ale,Bitter - English,40,5.0,3.73,27,50,7,58,62,34,3,30,96,8,116
221,Young's Bitter,Bitter - English,40,3.8,3.8,15,47,7,61,30,30,1,31,67,13,49
222,Session Ale-Extra Special BitterBoston Beer Company (Samuel Adams),Bitter - English,40,5.0,3.57,12,25,5,42,27,30,2,27,74,16,48
223,Courage Directors Bitter,Bitter - English,40,4.8,3.49,10,51,10,73,62,25,0,38,95,9,87
224,Ruby Red Ale,Bitter - English,40,4.3,3.7,19,47,12,71,73,28,0,33,78,14,122
225,Op & Top,Bitter - English,40,4.5,3.76,19,38,8,70,55,72,0,81,112,7,55
226,Tetley's Smoothflow,Bitter - English,40,3.6,3.25,14,96,10,40,62,21,1,20,55,2,74
227,Arkell Best Bitter,Bitter - English,40,4.0,3.67,15,40,8,79,60,31,4,29,105,4,117
228,Chester County Bitter,Bitter - English,40,4.5,3.63,14,85,10,74,32,31,0,30,91,37,82
229,Cain's Finest Bitter,Bitter - English,40,4.0,3.55,15,59,7,68,60,17,1,22,91,3,104
230,London Homesick Ale,Bitter - English,40,4.9,3.52,14,36,10,54,33,30,2,29,78,6,63
231,Bitter,Bitter - English,40,4.0,3.76,26,42,5,74,37,44,1,42,100,11,69
232,Colonel Blides Cask Ale,Bitter - English,40,5.5,3.62,14,56,5,61,43,38,3,41,78,8,82
233,Boddingtons Bitter,Bitter - English,40,3.8,2.95,2,51,6,41,13,6,0,6,50,3,34
234,T.E.A. (Traditional English Ale),Bitter - English,40,4.2,3.44,13,36,10,53,58,43,2,41,81,7,81
235,XB Bluebird Bitter,Bitter - English,40,4.4,3.63,31,51,2,64,55,73,0,66,82,6,69
236,Pitchfork Rebellious Bitter,Bitter - English,40,4.3,3.74,34,49,13,88,41,59,2,60,112,12,64
237,HopHead,Bitter - English,40,3.8,3.89,25,57,8,67,15,33,0,29,85,21,23
238,Old Brewery BitterSamuel Smith Old Brewery (Tadcaster),Bitter - English,40,4.0,3.72,10,91,9,58,62,42,1,41,68,21,75
239,Little Dog,Bitter - English,40,3.5,3.62,9,31,8,44,13,24,3,26,61,9,53
240,Banks's Bitter,Bitter - English,40,3.7,3.12,15,40,4,65,37,34,0,30,80,6,63
241,Best Bitter,Bitter - English,40,3.7,3.53,17,45,2,79,47,28,0,20,101,11,82
242,Camerons Strongarm,Bitter - English,40,4.0,3.74,16,49,13,60,62,22,0,16,66,12,89
243,HSB (Horndean Special Bitter),Bitter - English,40,4.8,3.99,13,47,7,54,40,28,0,29,64,14,64
244,Boltmaker,Bitter - English,40,4.0,4.05,14,66,10,79,78,39,3,45,101,11,125
245,St. Patrick's Best,Bitter - English,40,4.2,3.6,24,58,11,52,77,37,2,31,91,9,109
246,Sussex Best Bitter,Bitter - English,40,4.0,3.89,18,64,6,60,18,24,1,19,82,24,48
247,Hooky Bitter,Bitter - English,40,3.5,3.87,23,60,9,83,71,56,0,58,117,16,113
248,West Bank Pub Ale,Bitter - English,40,4.8,3.85,18,44,6,86,39,59,1,70,120,14,59
249,Adnams Bitter,Bitter - English,40,4.1,3.71,18,60,10,95,63,42,0,39,109,13,90
250,DeuS (Brut Des Flandres),Bière de Champagne / Bière Brut,27,11.5,4.17,15,25,24,7,54,39,0,53,35,34,19
